cpc	description	4char	3char
H03F2201/3212	. . Using a control circuit to adjust amplitude and phase of a signal in a signal path	H03F	H03
H03F2201/3218	. . the main amplifier or error amplifier being a feedforward amplifier	H03F	H03
H04R1/04	. . Structural association of microphone with electric circuitry therefor (in deaf-aid sets H04R25/00)	H04R	H04
H04R7/02	. characterised by the construction	H04R	H04
H04B15/02	. Reducing interference from electric apparatus by means located at or near the interfering apparatus	H04B	H04
H04B11/00	Transmission systems employing sonic, ultrasonic or infrasonic waves	H04B	H04
H04N21/81	. . Monomedia components thereof	H04N	H04
H03M1/66	. Digital/analogue converters ({H03M1/001 – } H03M1/10 take precedence)	H03M	H03
H01L51/05	. specially adapted for rectifying, amplifying, oscillating or switching, or capacitors or resistors with at least one potential- jump barrier or surface barrier {multistep processes for their manufacture}	H01L	H01
H01L51/42	. specially adapted for sensing infra-red radiation, light, electro-magnetic radiation of shorter wavelength or corpuscular radiation and adapted for the conversion of the energy of such radiation into electrical energy or for the control of electrical energy by such radiation {using organic materials as the active part, or using a combination of organic materials with other material as the active part; Multistep processes for their manufacture}	H01L	H01
H01M8/1004	. . characterised by membrane-electrode assemblies [MEA] (H01M8/12 takes precedence)	H01M	H01
H01M2250/40	. Combination of fuel cells with other energy production systems	H01M	H01
H01M2250/10	. Fuel cells in stationary systems, e.g. emergency power source in plant	H01M	H01
H01M2250/20	. Fuel cells in motive systems, e.g. vehicle, ship, plane	H01M	H01
H01B3/12	. . ceramics	H01B	H01
H02P5/74	. controlling two or more ac dynamo-electric motors (H02P5/46, H02P5/60 take precedence)	H02P	H02
H04L5/14	. Two-way operation using the same type of signal, i.e. duplex	H04L	H04
H04S2400/15	. Aspects of sound capture and related signal processing for recording or reproduction	H04S	H04
H05K7/18	. Construction of rack or frame	H05K	H05
H05B45/37	. . Converter circuits	H05B	H05
H04W56/00	Synchronisation arrangements	H04W	H04
H04W74/08	. Non-scheduled {or contention based} access, e.g. random access, ALOHA, CSMA [Carrier Sense Multiple Access] (H04W74/02 takes precedence)	H04W	H04
H04W84/18	. Self-organising networks, e.g. ad-hoc networks or sensor networks	H04W	H04
H04N9/67	. . for matrixing	H04N	H04
H02P9/14	. by variation of field (H02P9/08, H02P9/10 take precedence)	H02P	H02
H01F38/20	. Instruments transformers	H01F	H01
H04B17/20	. of receivers	H04B	H04
H04B1/713	. . using frequency hopping	H04B	H04
H01H3/32	. Driving mechanisms, i.e. for transmitting driving force to the contacts (snap-action arrangements H01H5/00; introducing a predetermined time delay H01H7/00)	H01H	H01
H02H7/26	. Sectionalised protection of cable or line systems, e.g. for disconnecting a section on which a short-circuit, earth fault, or arc discharge has occured (locating faults in cables G01R 31/08)	H02H	H02
H01S3/10	. Controlling the intensity, frequency, phase, polarisation or direction of the emitted radiation, e.g. switching, gating, modulating or demodulating	H01S	H01
H01L23/552	. Protection against radiation, e.g. light {or electromagnetic waves}	H01L	H01
H01L23/34	. Arrangements for cooling, heating, ventilating or temperature compensation {; Temperature sensing arrangements (thermal treatment apparatus H01L21/00)}	H01L	H01
H04W72/02	. Selection of wireless resources by user or terminal	H04W	H04
H04W92/18	. . between terminal devices	H04W	H04
H02K15/02	. of stator or rotor bodies	H02K	H02
H02G1/10	. . in or under water	H02G	H02
H01M2300/0085	. Immobilising or gelification of electrolyte	H01M	H01
H02H3/16	. responsive to fault current to earth, frame or mass (with balanced or differential arrangement H02H3/26 {; monitoring earth connection H02H5/105})	H02H	H02
H01F29/04	. . having provision for tap-changing without interrupting the load current	H01F	H01
H04W4/90	. Services for handling of emergency or hazardous situations, e.g. earthquake and tsunami warning systems [ETWS]	H04W	H04
H04N9/31	. . Projection devices for colour picture display {, e.g. using electronic spatial light modulators [ESLM]}	H04N	H04
H01M8/04	. Auxiliary arrangements, e.g. for control of pressure or for circulation of fluids	H01M	H01
H04L12/44	. . Star or tree networks	H04L	H04
H03K3/42	. . by the use, as active elements, of opto-electronic devices, i.e. light-emitting and photoelectric devices electrically- or optically-coupled	H03K	H03
H01F27/00	Details of transformers or inductances, in general	H01F	H01
H02G9/08	. in tunnels	H02G	H02
H04B17/373	. . Predicting channel quality parameters	H04B	H04
H05B47/175	. . by remote control	H05B	H05
H01G13/00	Apparatus specially adapted for manufacturing capacitors; Processes specially adapted for manufacturing capacitors not provided for in groups H01G4/00 - H01G11/00	H01G	H01
H01L21/027	. . Making masks on semiconductor bodies for further photolithographic processing not provided for in group H01L21/18 or H01L21/34 {(photographic masks or originals per se G03F 1/00; registration or positioning of photographic masks or originals G03F 9/00; photographic cameras G03B; control of position G05D 3/00)}	H01L	H01
H03F1/56	. Modifications of input or output impedances, not otherwise provided for	H03F	H03
H03F3/19	. . with semiconductor devices only	H03F	H03
H01R24/60	. Contacts spaced along planar side wall transverse to longitudinal axis of engagement	H01R	H01
H01B1/10	. . sulfides	H01B	H01
H03K17/78	. . using opto-electronic devices, i.e. light-emitting and photoelectric devices electrically- or optically-coupled	H03K	H03
H04R2420/07	. Applications of wireless loudspeakers or wireless microphones	H04R	H04
H01R35/00	Flexible or turnable line connectors {, i.e. the rotation angle being limited} (rotary current collectors, distributors H01R39/00)	H01R	H01
H01R2103/00	Two poles	H01R	H01
H01M4/13	. . Electrodes for accumulators with non-aqueous electrolyte, e.g. for lithium-accumulators; Processes of manufacture thereof	H01M	H01
H01M4/62	. . Selection of inactive substances as ingredients for active masses, e.g. binders, fillers	H01M	H01
H01M10/058	. . Construction or manufacture	H01M	H01
H01M12/08	. composed of a half-cell of a fuel-cell type and a half-cell of the secondary-cell type	H01M	H01
H04L7/04	. Speed or phase control by synchronisation signals {(H04L7/0075 takes precedence)}	H04L	H04
H01L23/50	. . for integrated circuit devices, {e.g. power bus, number of leads}(H01L23/482 - H01L23/498 take precedence)	H01L	H01
H05K3/26	. . Cleaning or polishing of the conductive pattern	H05K	H05
H05K2203/0257	. . Brushing, e.g. cleaning the conductive pattern by brushing or wiping	H05K	H05
H02S20/10	. Supporting structures directly fixed to the ground (H02S20/30 takes precedence)	H02S	H02
H02J3/00	Circuit arrangements for ac mains or ac distribution networks	H02J	H02
H02P9/02	. Details	H02P	H02
H02S20/00	Supporting structures for PV modules	H02S	H02
H01F27/29	. . Terminals; Tapping arrangements {for signal inductances}	H01F	H01
H01J37/304	. . Controlling tubes by information coming from the objects {or from the beam}, e.g. correction signals	H01J	H01
H01J37/28	. . with scanning beams {(H01J37/268, H01J37/292, H01J37/2955 take precedence)}	H01J	H01
H02J3/38	. Arrangements for parallely feeding a single network by two or more generators, converters or transformers	H02J	H02
H01L51/50	. specially adapted for light emission, e.g. organic light emitting diodes [OLED] or polymer light emitting devices [PLED] (organic semiconductor lasers H01S5/36 {; circuit arrangements for OLED or PLED H05B45/60; control arrangements for organic electroluminescent displays G09G 3/3208})	H01L	H01
H04Q1/18	. Electrical details	H04Q	H04
H01F17/06	. . with core substantially closed in itself, e.g. toroid	H01F	H01
H05K7/20	. Modifications to facilitate cooling, ventilating, or heating	H05K	H05
H02S10/12	. . Hybrid wind-PV energy systems	H02S	H02
H01R13/73	. Means for mounting coupling parts to apparatus or structures, e.g. to a wall	H01R	H01
H02G5/10	. Cooling	H02G	H02
H01L33/00	Semiconductor devices with at least one potential-jump barrier or surface barrier specially adapted for light emission; Processes or apparatus specially adapted for the manufacture or treatment thereof or of parts thereof; Details thereof (H01L51/50 takes precedence; devices consisting of a plurality of semiconductor components formed in or on a common substrate and including semiconductor components with at least one potential-jump barrier or surface barrier, specially adapted for light emission H01L27/15; semiconductor lasers H01S5/00)	H01L	H01
H01R43/02	. for soldered or welded connections	H01R	H01
H04S2420/01	. Enhancing the perception of the sound image or of the spatial distribution using head related transfer functions [HRTFs] or equivalents thereof, e.g. interaural time difference [ITD] or interaural level difference [ILD]	H04S	H04
H01L29/36	. . characterised by the concentration or distribution of impurities {in the bulk material (within semiconductor regions H01L29/06)}	H01L	H01
H01L33/52	. . Encapsulations	H01L	H01
H04N9/68	. . for controlling the amplitude of colour signals, e.g. automatic chroma control circuits (H04N9/71, H04N9/73 take precedence)	H04N	H04
H01M4/96	. . Carbon-based electrodes	H01M	H01
H01L23/29	. . characterised by the material {, e.g. carbon (interlayer dielectrics H01L23/5329)}	H01L	H01
H05B3/34	. . flexible, e.g. heating nets or webs	H05B	H05
H04N2201/0094	. . Multifunctional device, i.e. a device capable of all of reading, reproducing, copying, facsimile transception, file transception	H04N	H04
H04B10/516	. . Details of coding or modulation	H04B	H04
H04B10/60	. Receivers	H04B	H04
H02K19/16	. Synchronous generators	H02K	H02
H02P6/08	. Arrangements for controlling the speed or torque of a single motor (H02P6/10, H02P6/28 take precedence)	H02P	H02
H01M10/63	. . Control systems (charging or discharging in response to temperature H01M10/44 {, H01M10/443}; measurement of temperature H01M10/48 {, H01M10/486})	H01M	H01
H04N13/361	. . Reproducing mixed stereoscopic images; Reproducing mixed monoscopic and stereoscopic images, e.g. a stereoscopic image overlay window on a monoscopic image background	H04N	H04
H04L2463/143	. Denial of service attacks involving systematic or selective dropping of packets	H04L	H04
H04W76/12	. . Setup of transport tunnels	H04W	H04
H04L2209/20	. Manipulating the length of blocks of bits, e.g. padding or block truncation	H04L	H04
H04L2209/80	. Wireless (network architectures or network communication protocols for wireless network security H04W12/00)	H04L	H04
H02N13/00	Clutches or holding devices using electrostatic attraction, e.g. using Johnson-Rahbek effect	H02N	H02
H01Q21/24	. Combinations of antenna units polarised in different directions for transmitting or receiving circularly and elliptically polarised waves or waves linearly polarised in any direction {(circularly polarised patch antennas H01Q9/0428; circularly polarised horns H01Q13/0241; cross-polarised horns H01Q13/0258; polarisation converters H01Q15/242; cross-polarised rear feeds H01Q19/136; crossed polarisation dual antenna H01Q25/001)}	H01Q	H01
H01L33/12	. . with a stress relaxation structure, e.g. buffer layer	H01L	H01
H01L21/683	. . for supporting or gripping (for conveying H01L21/677, for positioning, orientation or alignment H01L21/68)	H01L	H01
H01H83/02	. operated by earth fault currents (H01H83/14 takes precedence)	H01H	H01
H01F21/12	. discontinuously variable, e.g. tapped	H01F	H01
H04L2209/84	. Vehicles	H04L	H04
H01L2251/301	. . Inorganic materials	H01L	H01
H02P25/06	. . Linear motors	H02P	H02
H04R5/033	. Headphones for stereophonic communication {(details thereof, e.g. relating to batteries, cables or control elements H04R1/10)}	H04R	H04
H04R2460/13	. Hearing devices using bone conduction transducers	H04R	H04
H04R2440/07	. Loudspeakers using bending wave resonance and pistonic motion to generate sound	H04R	H04
H04R2201/023	. . Transducers incorporated in garment, rucksacks or the like	H04R	H04
H04N7/15	. . Conference systems	H04N	H04
H01Q3/26	. varying the relative phase or relative amplitude of energisation between two or more active radiating elements; varying the distribution of energy across a radiating aperture ({H01Q3/12,} H01Q3/22, H01Q3/24 take precedence)	H01Q	H01
